method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
gappy-POD,0.999,3,5,4,1300,3900,4.605224779,0.05300608427387458
QDEIM,0.999,3,5,4,1300,4012,5.315560583,0.05252797561277062
SOPT,0.999,3,5,4,1400,4044,4.768121097,0.05603158745287783
gappy-POD,0.999,3,5,4,1400,4016,4.765121948,0.05295724267873808
QDEIM,0.999,3,5,4,1400,4056,5.397971812,0.05239929229060349
SOPT,0.999,3,5,4,1500,4068,4.826744043,0.05598093806875555
gappy-POD,0.999,3,5,4,1500,4080,4.852705353,0.0527632609073343
QDEIM,0.999,3,5,4,1500,4080,5.49808046,0.05251346215830825
SOPT,0.999,3,5,4,1600,4096,4.912200673,0.05448785504609981
gappy-POD,0.999,3,5,4,1600,4080,4.814917887,0.05265946366849393
QDEIM,0.999,3,5,4,1600,4080,5.517922183,0.05254753803926724
SOPT,0.999,3,5,4,1700,4096,4.868812215,0.0538084914365853
gappy-POD,0.999,3,5,4,1700,4080,5.21508836,0.0527389528910634
QDEIM,0.999,3,5,4,1700,4096,5.173740542,0.05255530281420707
SOPT,0.999,3,5,4,1800,4096,5.278412598,0.05350089722485164
gappy-POD,0.999,3,5,4,1800,4096,4.77475995,0.05279929540871644
QDEIM,0.999,3,5,4,1800,4096,5.421988972,0.0526540409178056
SOPT,0.999,3,5,4,1900,4096,4.816876271,0.05285154572478602
gappy-POD,0.999,3,5,4,1900,4096,4.786602885,0.05277417224548457
QDEIM,0.999,3,5,4,1900,4096,5.310983713,0.05276893208418233
SOPT,0.999,3,5,4,2000,4096,4.863370165,0.0526045186927379
gappy-POD,0.999,3,5,4,2000,4096,5.380194056,0.05279407740404386
QDEIM,0.999,3,5,4,2000,4096,5.004454627,0.05278261342024911
SOPT,0.999,3,5,4,2100,4096,4.861432312,0.05270372757228205
gappy-POD,0.999,3,5,4,2100,4096,4.886547637,0.05279919344966406
QDEIM,0.999,3,5,4,2100,4096,5.275025702,0.05279919344966411
EQPGlobal,0.9999,4,6,5,2100,91,0.150675703,0.01227483131187427
EQP,0.9999,4,6,5,5,5,0.042540028,0.05006644319222886
EQP,0.9999,4,6,5,10,10,0.04878725900000001,0.02961538872650621
EQP,0.9999,4,6,5,15,15,0.055578368,0.01202243744170508
EQP,0.9999,4,6,5,20,20,0.060690008,0.01215122645494753
EQP,0.9999,4,6,5,25,25,0.06945519,0.01242673434390479
EQP,0.9999,4,6,5,30,30,0.075465799,0.01232029048889163
EQP,0.9999,4,6,5,35,35,0.079275627,0.01224523856121519
EQP,0.9999,4,6,5,40,40,0.085844107,0.01226108349455615
EQP,0.9999,4,6,5,45,45,0.092738494,0.01222153789273038
EQP,0.9999,4,6,5,50,50,0.09835545000000001,0.01222058785718345
EQP,0.9999,4,6,5,60,60,0.110993063,0.01225410901107981
EQP,0.9999,4,6,5,70,70,0.12433823,0.01226578868084317
EQP,0.9999,4,6,5,80,80,0.136382574,0.0122778402738988
EQP,0.9999,4,6,5,90,90,0.149099564,0.0122776008226414
EQP,0.9999,4,6,5,100,91,0.151390984,0.01227483131187427
EQP,0.9999,4,6,5,110,91,0.158590314,0.01227483131187427
EQP,0.9999,4,6,5,120,91,0.149345661,0.01227483131187427
EQP,0.9999,4,6,5,130,91,0.150452539,0.01227483131187427
EQP,0.9999,4,6,5,140,91,0.149769279,0.01227483131187427
QDEIM,0.9999,4,6,5,5,40,0.103536016,2.136054044464563
SOPT,0.9999,4,6,5,10,80,0.138993548,0.01839089682483027
gappy-POD,0.9999,4,6,5,10,80,0.1404853399999999,0.03496962207629833
QDEIM,0.9999,4,6,5,10,80,0.139567413,0.03087358464547625
SOPT,0.9999,4,6,5,15,120,0.18726818,0.01688459930455462
gappy-POD,0.9999,4,6,5,15,120,0.1854482129999999,0.03496962207629774
QDEIM,0.9999,4,6,5,15,116,0.184257043,0.0269481505308425
SOPT,0.9999,4,6,5,20,144,0.214339586,0.01664568591187778
gappy-POD,0.9999,4,6,5,20,160,0.236114547,0.03496962207630027
QDEIM,0.9999,4,6,5,20,156,0.2269002689999999,0.02035636963722218
SOPT,0.9999,4,6,5,25,184,0.267030255,0.01670847815127813
gappy-POD,0.9999,4,6,5,25,200,0.28573109,0.03496962207630017
QDEIM,0.9999,4,6,5,25,196,0.275095548,0.0235096208686763
SOPT,0.9999,4,6,5,30,224,0.3063711699999999,0.01670847815127814
gappy-POD,0.9999,4,6,5,30,240,0.3255533629999999,0.03496962207630015
QDEIM,0.9999,4,6,5,30,232,0.319337183,0.02731530476180634
SOPT,0.9999,4,6,5,35,252,0.340199518,0.01670847815127812
gappy-POD,0.9999,4,6,5,35,280,0.386920584,0.03496962207629982
QDEIM,0.9999,4,6,5,35,260,0.361801045,0.02880994130416846
SOPT,0.9999,4,6,5,40,284,0.389001121,0.01670847815127813
gappy-POD,0.9999,4,6,5,40,320,0.422967662,0.03496962207629916
QDEIM,0.9999,4,6,5,40,300,0.396467908,0.02780806884698587
SOPT,0.9999,4,6,5,45,320,0.416669469,0.01670847815127812
gappy-POD,0.9999,4,6,5,45,360,0.465566692,0.0355922270789873
QDEIM,0.9999,4,6,5,45,340,0.4414610450000001,0.02791081960064868
SOPT,0.9999,4,6,5,50,360,0.461434612,0.01670847815127813
gappy-POD,0.9999,4,6,5,50,400,0.512924269,0.03606221423872737
QDEIM,0.9999,4,6,5,50,380,0.57244618,0.02732905751836559
SOPT,0.9999,4,6,5,100,684,0.836415495,0.01670995414397026
gappy-POD,0.9999,4,6,5,100,712,0.876396302,0.01771869344194671
